Group,Country,Value,Key
Dead of Winter: A Crossroads Game,Republic of Serbia,8.5,1
Dead of Winter: A Crossroads Game,Slovakia,9,1
Dead of Winter: A Crossroads Game,South Africa,8,2
Dead of Winter: A Crossroads Game,South Korea,7.78,12
Dead of Winter: A Crossroads Game,Spain,8,67
Dead of Winter: A Crossroads Game,Sweden,8.86,12
Dead of Winter: A Crossroads Game,Switzerland,6.33,3
Dead of Winter: A Crossroads Game,Taiwan,8,4
Dead of Winter: A Crossroads Game,Thailand,6.63,4
Dead of Winter: A Crossroads Game,Turkey,8.5,1
Dead of Winter: A Crossroads Game,Ukraine,9.5,4
Dead of Winter: A Crossroads Game,USA,7.86,640
Dead of Winter: A Crossroads Game,Uruguay,8.67,3
Dead of Winter: A Crossroads Game,Venezuela,9,1
Diamant,Argentina,6.94,8
Diamant,Australia,6.97,46
Diamant,Austria,7,3
Diamant,Belarus,6,1
Diamant,Belgium,7.09,11
Diamant,Brazil,7.07,22
Diamant,Brunei,8,1
Diamant,Canada,7.04,96
Diamant,Chile,7.41,9
Diamant,China,6.95,4
Diamant,Colombia,10,1
Diamant,Croatia,8,1
Diamant,Czech Republic,7.5,2
Diamant,Denmark,4.8,5
Diamant,England,7.36,7
Diamant,Estonia,6.67,3
Diamant,Finland,6.93,20
Diamant,France,7.13,16
Diamant,Germany,6.9,61
Diamant,Greece,7.29,14
Diamant,Guatemala,1,1
Diamant,Hungary,7,3
Diamant,India,6,1
Diamant,Indonesia,7,1
Diamant,Ireland,7.75,2
Diamant,Israel,7.5,6
Diamant,Italy,7.24,17
Diamant,Japan,6.68,28
Diamant,Latvia,9,1
Diamant,Malaysia,6.96,5
Diamant,Mexico,7.3,6
Diamant,Netherlands,7.29,11
Diamant,New Zealand,7.22,13
Diamant,Norway,7.18,11
Diamant,Philippines,8,2
Diamant,Poland,6.96,13
Diamant,Portugal,7.11,7
Diamant,Romania,6.75,2
Diamant,Russia,5,1
Diamant,Saudi Arabia,8,1
Diamant,Republic of Serbia,9,2
Diamant,Slovenia,8.33,3
Diamant,South Africa,6.83,3
Diamant,South Korea,6.86,13
Diamant,Spain,6.96,76
Diamant,Sweden,6.28,17
Diamant,Switzerland,6.67,3
Diamant,Taiwan,7.56,11
Diamant,Thailand,8.04,7
Diamant,Ukraine,9,1
Diamant,USA,7.24,684
Diamant,Uruguay,8,1
Diamant,Vietnam,7.5,1
Diplomacy,Argentina,8,2
Diplomacy,Australia,7.23,34
Diplomacy,Austria,7.17,6
Diplomacy,Belgium,7.54,12
Diplomacy,Brazil,8.14,18
Diplomacy,Canada,7.65,115
Diplomacy,Chile,8.5,2
Diplomacy,China,5.9,1
Diplomacy,Czech Republic,8,1
Diplomacy,Denmark,7.25,10
Diplomacy,England,6.75,4
Diplomacy,Finland,7.28,18
Diplomacy,France,7.93,17
Diplomacy,Germany,7.21,59
Diplomacy,Greece,7.85,10
Diplomacy,Hungary,8.13,4
Diplomacy,Iceland,7,1
Diplomacy,India,7,1
Diplomacy,Indonesia,7,1
Diplomacy,Ireland,8.05,5
Diplomacy,Israel,6,2
Diplomacy,Italy,7.29,32
Diplomacy,Japan,6.67,6
Diplomacy,Latvia,6,1
Diplomacy,Lithuania,8,1
Diplomacy,Mexico,8.45,4
Diplomacy,Moldova,7,1
Diplomacy,Netherlands,6.6,19
Diplomacy,New Zealand,6.72,9
Diplomacy,Norway,6.8,10
Diplomacy,Peru,8.5,2
Diplomacy,Philippines,5,1
Diplomacy,Poland,7.4,5
Diplomacy,Portugal,6.28,9
Diplomacy,Russia,6.33,3
Diplomacy,Republic of Serbia,8,2
Diplomacy,Slovenia,10,1
Diplomacy,South Korea,7.67,3
Diplomacy,Spain,7.56,24
Diplomacy,Sweden,7.38,25
Diplomacy,Switzerland,8,2
Diplomacy,Taiwan,9,1
Diplomacy,Turkey,9,1
Diplomacy,Ukraine,8,1
Diplomacy,USA,7.4,601
Diplomacy,Venezuela,6.5,2
Dixit,Argentina,8.23,26
Dixit,Australia,7.65,83
Dixit,Austria,8.05,11
Dixit,The Bahamas,10,1
Dixit,Belarus,8.33,3
Dixit,Belgium,7.65,45
Dixit,Bolivia,8,1
Dixit,Brazil,8.5,97
Dixit,Bulgaria,8.05,10
Dixit,Canada,7.71,187
Dixit,Chile,8.27,20
Dixit,China,7.79,27
Dixit,Colombia,8.9,5
Dixit,Costa Rica,9.5,2
Dixit,Croatia,8.2,10
Dixit,Czech Republic,8.12,18
Dixit,Denmark,7.21,14
Dixit,England,7.2,10
Dixit,Estonia,8,6
Dixit,Finland,7.46,28
Dixit,France,8.23,35
Dixit,Germany,7.12,111
Dixit,Greece,7.87,49
Dixit,Hungary,8.4,25
Dixit,Iceland,8.75,2
Dixit,India,8.13,4
Dixit,Indonesia,8.54,5
Dixit,Ireland,7.86,16
Dixit,Israel,7.78,14
Dixit,Italy,7.99,69
Dixit,Japan,7.32,37
Dixit,Latvia,8,8
Dixit,Lithuania,7.81,17
Dixit,Luxembourg,7.67,3
Dixit,Macedonia,7,2
Dixit,Malaysia,7.88,8
Dixit,Mexico,8.56,20
Dixit,Moldova,9,1
Dixit,Netherlands,7.9,33
Dixit,New Zealand,7.63,19
Dixit,Norway,7.25,14
Dixit,Peru,8.67,3
Dixit,Philippines,7.88,8
Dixit,Poland,7.77,123
Dixit,Portugal,7.86,25
Dixit,Qatar,7.1,2
Dixit,Romania,8.1,16
Dixit,Russia,7.91,22
Dixit,Saudi Arabia,7.33,3
Dixit,Republic of Serbia,8.3,10
Dixit,Slovakia,8,4
Dixit,Slovenia,8.75,4
Dixit,South Africa,8.33,4
Dixit,South Korea,7.55,28
Dixit,Spain,7.92,159
Dixit,Sweden,7.37,34
Dixit,Switzerland,7.44,9
Dixit,Taiwan,7.98,32
Dixit,Thailand,8.52,16
Dixit,Turkey,8.5,1
Dixit,Uganda,8,1
Dixit,Ukraine,8.54,12
Dixit,USA,7.52,1075
Dixit,Uruguay,8.75,4
Dixit,Venezuela,8,2
Dixit,Vietnam,7.63,2
Dominion,Argentina,8.62,21
Dominion,Australia,7.81,123
Dominion,Austria,8.13,20
Dominion,Belarus,10,2
Dominion,Belgium,8.27,57
Dominion,Bolivia,9,2
Dominion,Brazil,8.39,75
Dominion,Brunei,10,1
Dominion,Bulgaria,8,7
Dominion,Canada,8.13,384
Dominion,Chile,8.19,16
Dominion,China,8.62,31
Dominion,Colombia,9.1,5
Dominion,Costa Rica,10,1
Dominion,Croatia,8.22,6
Dominion,Czech Republic,8.46,24
Dominion,Denmark,8.05,29
Dominion,Ecuador,7,2
Dominion,England,7.91,14
Dominion,Estonia,8.29,7
Dominion,Finland,8.37,53
Dominion,France,7.98,38
Dominion,Germany,8.2,291
Dominion,Greece,8.31,44
Dominion,Guatemala,9.25,2
Dominion,Hungary,7.72,24
Dominion,Iceland,7.5,2
Dominion,India,8,5
Dominion,Indonesia,8.67,3
Dominion,Iraq,9,1
Dominion,Ireland,8.41,13
Dominion,Israel,8.59,15
Dominion,Italy,8.04,65
Dominion,Japan,8.03,46
Dominion,Latvia,8.69,9
Dominion,Lithuania,8.34,16
Dominion,Luxembourg,8.25,4
Dominion,Malaysia,7.81,11
Dominion,Mexico,8.25,18
Dominion,Moldova,9.75,2
Dominion,Netherlands,8.26,63
Dominion,New Zealand,8.01,29
Dominion,Norway,8.65,31
Dominion,Peru,7.25,6
Dominion,Philippines,8.17,3
Dominion,Poland,8.15,110
Dominion,Portugal,8.07,20
Dominion,Romania,8.8,19
Dominion,Russia,8.62,26
Dominion,Saudi Arabia,9,1
Dominion,Republic of Serbia,7.57,7
Dominion,Slovakia,8.15,4
Dominion,Slovenia,8.75,4
Dominion,South Africa,8.5,8
Dominion,South Korea,8.52,35
Dominion,Spain,8.01,189
Dominion,Sweden,8.13,72
Dominion,Switzerland,7.98,23
Dominion,Taiwan,8.38,39
Dominion,Thailand,8.08,12
Dominion,Trinidad and Tobago,7,1
Dominion,Uganda,8,1
Dominion,Ukraine,7.56,9
Dominion,USA,8.3,2646
Dominion,Uruguay,9.67,3
Dominion,Venezuela,9.67,3
Dominion,Vietnam,7.58,3
Dominion: Intrigue,Argentina,8.86,7
Dominion: Intrigue,Australia,7.9,50
Dominion: Intrigue,Austria,7.32,14
Dominion: Intrigue,Azerbaijan,6,1
Dominion: Intrigue,Belarus,9.5,2
Dominion: Intrigue,Belgium,8.45,23
Dominion: Intrigue,Bolivia,9,2
Dominion: Intrigue,Brazil,8.6,21
Dominion: Intrigue,Bulgaria,8,1
Dominion: Intrigue,Canada,8.1,162
Dominion: Intrigue,Chile,8.07,7
Dominion: Intrigue,China,8.81,20
Dominion: Intrigue,Colombia,7.75,2
Dominion: Intrigue,Croatia,7.35,2
Dominion: Intrigue,Czech Republic,8.16,14
Dominion: Intrigue,Denmark,7.52,11
Dominion: Intrigue,England,8.78,8
Dominion: Intrigue,Estonia,7.5,5
Dominion: Intrigue,Finland,7.94,23
Dominion: Intrigue,France,7.8,21
Dominion: Intrigue,Germany,8.15,122
Dominion: Intrigue,Greece,8.65,13
Dominion: Intrigue,Hungary,7.59,7
Dominion: Intrigue,India,5,1
Dominion: Intrigue,Indonesia,8.67,3
Dominion: Intrigue,Ireland,8,4
Dominion: Intrigue,Israel,9.07,7
Dominion: Intrigue,Italy,8.38,30
Dominion: Intrigue,Japan,7.56,20
Dominion: Intrigue,Latvia,8.27,7
Dominion: Intrigue,Lithuania,8.67,6
Dominion: Intrigue,Luxembourg,6.5,3
Dominion: Intrigue,Malaysia,8.76,5
Dominion: Intrigue,Mexico,7.58,6
Dominion: Intrigue,Netherlands,8.3,27
Dominion: Intrigue,New Zealand,7.83,15
Dominion: Intrigue,Norway,8.44,16
Dominion: Intrigue,Peru,8,1
Dominion: Intrigue,Philippines,6.5,3
Dominion: Intrigue,Poland,8.06,56
Dominion: Intrigue,Portugal,9.25,4
Dominion: Intrigue,Qatar,7.6,1
Dominion: Intrigue,Romania,8.93,8
Dominion: Intrigue,Russia,8.38,13
Dominion: Intrigue,Republic of Serbia,8,2
Dominion: Intrigue,Slovakia,7.65,2
Dominion: Intrigue,Slovenia,10,1
Dominion: Intrigue,South Africa,8.38,4
Dominion: Intrigue,South Korea,8.3,25
Dominion: Intrigue,Spain,8.03,74
Dominion: Intrigue,Sweden,8.09,28
Dominion: Intrigue,Switzerland,7.93,14
Dominion: Intrigue,Taiwan,8.37,16
Dominion: Intrigue,Thailand,7.56,7
Dominion: Intrigue,Ukraine,7.39,8
Dominion: Intrigue,USA,8.29,1090
Dominion: Intrigue,Uruguay,10,1
Dominion: Intrigue,Venezuela,8.5,2
Dominion: Intrigue,Vietnam,8,2
Eclipse,Argentina,8.3,4
Eclipse,Australia,7.75,26
Eclipse,Austria,8.71,7
Eclipse,Azerbaijan,9,1
Eclipse,Belarus,9.25,2
Eclipse,Belgium,8.59,13
Eclipse,Brazil,8.58,35
Eclipse,Bulgaria,9,2
Eclipse,Canada,8.35,104
Eclipse,Chile,8.63,3
Eclipse,China,7.38,11
Eclipse,Colombia,8,1
Eclipse,Croatia,8.18,4
Eclipse,Czech Republic,7.4,5
Eclipse,Denmark,9,7
Eclipse,Ecuador,8,1
Eclipse,England,8.18,6
Eclipse,Estonia,8.7,2
Eclipse,Finland,9.01,34
Eclipse,France,8.65,16
Eclipse,Germany,8.35,74
Eclipse,Greece,8.25,13
Eclipse,Hungary,7.3,4
Eclipse,Iceland,10,1
Eclipse,India,6,2
Eclipse,Indonesia,8,1
Eclipse,Ireland,9,4
Eclipse,Israel,8.5,4
Eclipse,Italy,7.91,34
Eclipse,Japan,5.83,6
Eclipse,Latvia,8.5,6
Eclipse,Lithuania,8,5
Eclipse,Luxembourg,8,1
Eclipse,Malaysia,10,2
Eclipse,Mexico,7,1
Eclipse,Netherlands,7.9,14
Eclipse,New Zealand,8.29,7
Eclipse,Norway,7.99,9
Eclipse,Peru,9,1
Eclipse,Philippines,5,1
Eclipse,Poland,8.47,39
Eclipse,Portugal,8.75,4
Eclipse,Romania,8.5,3
Eclipse,Russia,8.54,13
Eclipse,Republic of Serbia,8.5,3
Eclipse,Slovakia,9,1
Eclipse,South Africa,9.25,4
Eclipse,South Korea,7.92,9
Eclipse,Spain,8.22,66
Eclipse,Sweden,7.83,20
Eclipse,Switzerland,8.3,6
Eclipse,Taiwan,8.37,7
Eclipse,Thailand,7.9,5
Eclipse,Ukraine,8.88,8
Eclipse,USA,8.1,600
Eclipse,Venezuela,8.67,3
Eclipse,Vietnam,10,1
El Grande,Argentina,8.74,11
El Grande,Australia,8.12,55
El Grande,Austria,9.07,21
El Grande,Belgium,8.25,51
El Grande,Brazil,8.45,35
El Grande,Bulgaria,7,1
El Grande,Canada,8.14,155
El Grande,Chile,7.91,9
El Grande,China,7.78,8
El Grande,Colombia,8.63,4
El Grande,Croatia,8.88,5
El Grande,Czech Republic,7.5,10
El Grande,Denmark,7.63,15
El Grande,England,8.38,8
El Grande,Estonia,9,3
El Grande,Finland,8.27,29
El Grande,France,8.01,20
El Grande,Germany,8.28,228
El Grande,Greece,8.17,21
El Grande,Hungary,7.92,12
El Grande,India,8,1
El Grande,Indonesia,8.67,3
El Grande,Ireland,8.33,6
El Grande,Israel,8.25,12
El Grande,Italy,8.23,55
El Grande,Japan,7.98,33
El Grande,Latvia,7.5,3
El Grande,Lithuania,8.25,4
El Grande,Luxembourg,7,1
El Grande,Malaysia,8.07,7
El Grande,Mexico,8.33,9
El Grande,Moldova,9,1
El Grande,Netherlands,8.05,55
El Grande,New Zealand,7.36,17
El Grande,Norway,8.59,19
El Grande,Peru,7.5,1
El Grande,Philippines,9,2
El Grande,Poland,8.07,41
El Grande,Portugal,8.5,10
El Grande,Qatar,8,1
El Grande,Romania,8.9,5
El Grande,Russia,7,1
El Grande,Saudi Arabia,9,1
El Grande,Republic of Serbia,8.17,3
El Grande,Slovakia,6,1
El Grande,Slovenia,9.17,3
El Grande,South Africa,9,4
El Grande,South Korea,8.2,28
El Grande,Spain,8.39,116
El Grande,Sweden,7.67,40
El Grande,Switzerland,7.96,14
El Grande,Taiwan,8.38,17
El Grande,Thailand,8.17,6
El Grande,Ukraine,7,2
El Grande,USA,8.06,894
El Grande,Venezuela,8.33,3
Elfenland,Argentina,6.75,2
Elfenland,Australia,7.44,18
Elfenland,Austria,6.47,9
Elfenland,Belarus,8.75,2
Elfenland,Belgium,7.37,30
Elfenland,Brazil,7.57,18
Elfenland,Brunei,8,1
Elfenland,Canada,6.98,58
Elfenland,Chile,7.95,4
Elfenland,China,6.3,2
Elfenland,Colombia,7.5,1
Elfenland,Czech Republic,6.43,7
Elfenland,Denmark,6.67,6
Elfenland,England,6.67,3
Elfenland,Estonia,6.5,4
Elfenland,Finland,7.23,13
Elfenland,France,7,10
Elfenland,Germany,6.9,107
Elfenland,Greece,7.49,7
Elfenland,Hungary,7.36,7
Elfenland,India,8,2
Elfenland,Indonesia,6.2,1
Elfenland,Ireland,7,1
Elfenland,Israel,8,3
Elfenland,Italy,7.09,34
Elfenland,Japan,7.14,29
Elfenland,Lithuania,8,1
Elfenland,Malaysia,7.5,1
Elfenland,Netherlands,7.3,41
Elfenland,New Zealand,6.34,11
Elfenland,Norway,7.51,13
Elfenland,Poland,7.38,8
Elfenland,Portugal,6.5,5
Elfenland,Romania,8,1
Elfenland,Russia,6.5,4
Elfenland,Saudi Arabia,8,1
Elfenland,Republic of Serbia,8.25,2
Elfenland,Slovakia,5,1
Elfenland,Slovenia,9,1
Elfenland,South Africa,6.5,2
Elfenland,South Korea,6.43,12
Elfenland,Spain,7.44,28
Elfenland,Sweden,6.95,28
Elfenland,Switzerland,7.25,4
Elfenland,Taiwan,6.78,5
Elfenland,Thailand,7,1
Elfenland,Ukraine,8.75,2
Elfenland,USA,7.06,475
Elfenland,Venezuela,6,1
Five Tribes,Argentina,8.41,9
Five Tribes,Australia,7.89,42
Five Tribes,Austria,7,3
Five Tribes,Belarus,7,1
Five Tribes,Belgium,7.86,14
Five Tribes,Brazil,8.51,33
Five Tribes,Bulgaria,9,4
Five Tribes,Canada,8.02,107
Five Tribes,Chile,7.85,4
Five Tribes,China,8.25,10
Five Tribes,Colombia,9,4
Five Tribes,Costa Rica,8,1
Five Tribes,Croatia,6.7,1
Five Tribes,Czech Republic,6.33,3
Five Tribes,Denmark,7.24,5
Five Tribes,England,8.6,5
Five Tribes,Estonia,7.98,3
Five Tribes,Finland,7.38,4
Five Tribes,France,7.8,22
Five Tribes,Germany,7.28,48
Five Tribes,Greece,8.93,18
Five Tribes,Guatemala,9,1
Five Tribes,Hungary,7.09,9
Five Tribes,Iceland,9,1
Five Tribes,India,8,4
Five Tribes,Indonesia,8.5,1
Five Tribes,Ireland,9,5
Five Tribes,Israel,8.05,4
Five Tribes,Italy,7.37,23
Five Tribes,Japan,7.44,8
Five Tribes,Kenya,7.5,1
Five Tribes,Latvia,8.75,3
Five Tribes,Lebanon,9,1
Five Tribes,Lithuania,7,6
Five Tribes,Luxembourg,5.25,2
Five Tribes,Malaysia,8.38,4
Five Tribes,Mexico,8.49,8
Five Tribes,Netherlands,7.7,23
Five Tribes,New Zealand,7.88,8
Five Tribes,Norway,7.53,6
Five Tribes,Peru,9.5,2
Five Tribes,Philippines,8.43,7
Five Tribes,Poland,8.08,35
Five Tribes,Portugal,7.75,11
Five Tribes,Qatar,2.2,1
Five Tribes,Romania,8.85,7
Five Tribes,Russia,7.43,7
Five Tribes,Republic of Serbia,7.2,5
Five Tribes,Slovakia,9.25,2
Five Tribes,Slovenia,8,1
Five Tribes,South Africa,7.88,4
Five Tribes,South Korea,7.59,14
Five Tribes,Spain,8.38,44
Five Tribes,Sweden,7.5,22
Five Tribes,Switzerland,8.25,6
Five Tribes,Taiwan,8.84,10
Five Tribes,Thailand,8.33,3
Five Tribes,Ukraine,8.4,5
Five Tribes,USA,7.91,602
Five Tribes,Venezuela,9.5,2
Five Tribes,Vietnam,8.75,2
Flash Point: Fire Rescue,Argentina,7.36,7
Flash Point: Fire Rescue,Australia,7.41,33
Flash Point: Fire Rescue,Austria,7.3,5
Flash Point: Fire Rescue,Belgium,7.39,14
Flash Point: Fire Rescue,Bolivia,9,1
Flash Point: Fire Rescue,Brazil,7.97,21
Flash Point: Fire Rescue,Bulgaria,10,1
Flash Point: Fire Rescue,Canada,7.7,95
Flash Point: Fire Rescue,Chile,7.67,6
Flash Point: Fire Rescue,China,7.23,3
Flash Point: Fire Rescue,Colombia,7,1
Flash Point: Fire Rescue,Czech Republic,7.88,8
Flash Point: Fire Rescue,Denmark,6,1
Flash Point: Fire Rescue,England,7.25,3
Flash Point: Fire Rescue,Finland,7.6,5
Flash Point: Fire Rescue,France,7.6,5
Flash Point: Fire Rescue,Germany,7.43,48
Flash Point: Fire Rescue,Greece,7.67,13
Flash Point: Fire Rescue,Guatemala,7,1
Flash Point: Fire Rescue,Hungary,7,3
Flash Point: Fire Rescue,India,8,2
Flash Point: Fire Rescue,Indonesia,8,1
Flash Point: Fire Rescue,Ireland,7.25,4
Flash Point: Fire Rescue,Italy,7.12,13
Flash Point: Fire Rescue,Japan,6.25,8
Flash Point: Fire Rescue,Latvia,9,1
Flash Point: Fire Rescue,Lithuania,9,1
Flash Point: Fire Rescue,Luxembourg,8,1
Flash Point: Fire Rescue,Malaysia,7,1
Flash Point: Fire Rescue,Mexico,8.43,7
Flash Point: Fire Rescue,Netherlands,7.52,24
Flash Point: Fire Rescue,New Zealand,7.06,8
Flash Point: Fire Rescue,Norway,6.54,7
Flash Point: Fire Rescue,Philippines,6.5,2
Flash Point: Fire Rescue,Poland,7.48,20
Flash Point: Fire Rescue,Portugal,7,3
Flash Point: Fire Rescue,Qatar,6.6,1
Flash Point: Fire Rescue,Romania,9,1
Flash Point: Fire Rescue,Russia,7.6,5
Flash Point: Fire Rescue,Republic of Serbia,7,1
Flash Point: Fire Rescue,Slovenia,10,1
Flash Point: Fire Rescue,South Africa,7.5,3
Flash Point: Fire Rescue,South Korea,8.29,7
Flash Point: Fire Rescue,Spain,7.62,70
Flash Point: Fire Rescue,Sweden,7.55,10
Flash Point: Fire Rescue,Switzerland,6.5,2
Flash Point: Fire Rescue,Taiwan,8.75,2
Flash Point: Fire Rescue,Thailand,6.5,6
Flash Point: Fire Rescue,Ukraine,6.8,2
Flash Point: Fire Rescue,USA,7.62,550
Flash Point: Fire Rescue,Uruguay,8.5,1
Fluxx,Argentina,6.33,3
Fluxx,Australia,6.02,30
Fluxx,Austria,6,1
Fluxx,Belarus,5,1
Fluxx,Belgium,7,6
Fluxx,Brazil,7,9
Fluxx,Brunei,7,1
Fluxx,Canada,6.27,69
Fluxx,Chile,6.78,5
Fluxx,China,6,4
Fluxx,Colombia,7,1
Fluxx,Denmark,4.83,6
Fluxx,England,6.67,3
Fluxx,Estonia,10,1
Fluxx,Finland,5.16,17
Fluxx,France,9,1
Fluxx,Germany,5.58,41
Fluxx,Greece,5,1
Fluxx,Hungary,9.5,1
Fluxx,India,6,1
Fluxx,Indonesia,2,1
Fluxx,Ireland,6.94,4
Fluxx,Israel,6.79,7
Fluxx,Italy,6.31,8
Fluxx,Japan,4,4
Fluxx,Malaysia,5.5,4
Fluxx,Mexico,6,2
Fluxx,Netherlands,6.85,18
Fluxx,New Zealand,6.08,6
Fluxx,Norway,5.8,5
Fluxx,Philippines,7,2
Fluxx,Poland,5.2,5
Fluxx,Qatar,8,1
Fluxx,Romania,7.25,2
Fluxx,Russia,5.75,4
Fluxx,Republic of Serbia,8,1
Fluxx,Slovakia,7,1
Fluxx,South Africa,4,1
Fluxx,South Korea,6,8
Fluxx,Spain,7.45,13
Fluxx,Sweden,5.74,27
Fluxx,Switzerland,7,3
Fluxx,Taiwan,6,1
Fluxx,Turkey,8,1
Fluxx,USA,6.07,1008
For Sale,Argentina,7,1
For Sale,Australia,7.63,52
For Sale,Austria,6,3
For Sale,Belarus,7,1
For Sale,Belgium,7.34,8
For Sale,Brazil,7.72,29
For Sale,Brunei,7,1
For Sale,Canada,7.51,152
For Sale,Chile,7.1,5
For Sale,China,6.93,12
For Sale,Colombia,7,1
For Sale,Croatia,7.3,1
For Sale,Czech Republic,8,4
For Sale,Denmark,7,4
For Sale,England,7.31,8
For Sale,Estonia,6.42,6
For Sale,Finland,7.62,22
For Sale,France,7.78,9
For Sale,Germany,7.03,35
For Sale,Greece,7.7,22
For Sale,Hungary,7.67,9
For Sale,Iceland,8,1
For Sale,India,8.9,5
For Sale,Indonesia,7.5,2
For Sale,Ireland,7.75,4
For Sale,Israel,7.47,9
For Sale,Italy,7.34,18
For Sale,Japan,6.62,17
For Sale,Latvia,7.5,5
For Sale,Lithuania,5.75,4
For Sale,Malaysia,7.25,6
For Sale,Mexico,6.75,4
For Sale,Moldova,10,1
For Sale,Netherlands,7.24,18
For Sale,New Zealand,7.24,16
For Sale,Norway,7.7,10
For Sale,Philippines,8.67,3
For Sale,Poland,7.68,25
For Sale,Portugal,7.44,8
For Sale,Romania,7,1
For Sale,Russia,7.6,5
For Sale,Saudi Arabia,8,1
For Sale,Republic of Serbia,7.25,4
For Sale,Slovakia,8,1
For Sale,Slovenia,7.75,2
For Sale,South Africa,7,5
For Sale,South Korea,7.23,21
For Sale,Spain,7.26,51
For Sale,Sweden,7.14,21
For Sale,Switzerland,7.5,2
For Sale,Taiwan,7.48,18
For Sale,Thailand,7.95,12
For Sale,Turkey,7.75,2
For Sale,Uganda,8.5,1
For Sale,Ukraine,9.5,2
For Sale,USA,7.56,886
For Sale,Venezuela,7,1
For Sale,Vietnam,6.5,1
Forbidden Desert,Argentina,8.13,4
Forbidden Desert,Australia,7.12,34
Forbidden Desert,Austria,7.5,1
Forbidden Desert,Belarus,7,1
Forbidden Desert,Belgium,7.01,11
Forbidden Desert,Bolivia,8,1
Forbidden Desert,Brazil,7.55,18
Forbidden Desert,Bulgaria,10,1
Forbidden Desert,Canada,7.72,94
Forbidden Desert,Chile,7.75,4
Forbidden Desert,China,6.5,3
Forbidden Desert,Colombia,7.33,3
Forbidden Desert,Costa Rica,9,1
Forbidden Desert,Croatia,7,1
Forbidden Desert,Czech Republic,8.5,2
Forbidden Desert,Denmark,7.94,5
Forbidden Desert,England,6.42,6
Forbidden Desert,Finland,7.21,7
Forbidden Desert,France,7.63,7
Forbidden Desert,Germany,7.36,34
Forbidden Desert,Greece,7.83,3
Forbidden Desert,Honduras,7.8,1
Forbidden Desert,Hungary,7.8,5
Forbidden Desert,Iceland,7.5,1
Forbidden Desert,India,8,2
Forbidden Desert,Indonesia,8,1
Forbidden Desert,Ireland,7.63,4
Forbidden Desert,Israel,7.63,5
Forbidden Desert,Italy,7,8
Forbidden Desert,Japan,5.6,5
Forbidden Desert,Latvia,7.5,2
Forbidden Desert,Lithuania,7.75,4
Forbidden Desert,Malaysia,7,1
Forbidden Desert,Mexico,7.8,12
Forbidden Desert,Netherlands,7.46,15
Forbidden Desert,New Zealand,6.69,8
Forbidden Desert,Norway,7.25,6
Forbidden Desert,Peru,6,1
Forbidden Desert,Philippines,5.75,2
Forbidden Desert,Poland,8.36,7
Forbidden Desert,Portugal,7.23,4
Forbidden Desert,Qatar,8,1
Forbidden Desert,Romania,8.26,7
Forbidden Desert,Russia,6.13,2
Forbidden Desert,Republic of Serbia,7.25,2
Forbidden Desert,Slovakia,10,1
Forbidden Desert,Slovenia,9,3
Forbidden Desert,South Africa,8.13,4
Forbidden Desert,South Korea,7.25,8
Forbidden Desert,Spain,6.99,35
Forbidden Desert,Sri Lanka,7,1
Forbidden Desert,Sweden,7.65,10
Forbidden Desert,Switzerland,7.5,2
Forbidden Desert,Taiwan,8.81,7
Forbidden Desert,Thailand,6.88,4
Forbidden Desert,Ukraine,7.6,2
Forbidden Desert,USA,7.54,648
Forbidden Desert,Uruguay,7.5,1
Forbidden Desert,Vietnam,5.88,2
Forbidden Island,Argentina,7.1,18
Forbidden Island,Australia,7.11,67
Forbidden Island,Austria,7,6
Forbidden Island,Belarus,6.67,3
Forbidden Island,Belgium,7.67,24
Forbidden Island,Bolivia,7,1
Forbidden Island,Brazil,7.52,40
Forbidden Island,Bulgaria,7.5,3
Forbidden Island,Canada,7.24,159
Forbidden Island,Chile,6.79,15
Forbidden Island,China,6.73,8
Forbidden Island,Colombia,7.25,4
Forbidden Island,Costa Rica,7.5,2
Forbidden Island,Czech Republic,6.9,5
Forbidden Island,Denmark,6.51,9
Forbidden Island,England,6.92,12
Forbidden Island,Estonia,7.67,3
Forbidden Island,Finland,6.94,18
Forbidden Island,France,7.23,15
Forbidden Island,Germany,6.89,75
Forbidden Island,Greece,7.25,26
Forbidden Island,Hungary,7,6
Forbidden Island,India,7.33,3
Forbidden Island,Indonesia,6,1
Forbidden Island,Ireland,7.17,9
Forbidden Island,Israel,6.7,9
Forbidden Island,Italy,6.59,21
Forbidden Island,Japan,6.87,18
Forbidden Island,Latvia,7.33,3
Forbidden Island,Lithuania,8,1
Forbidden Island,Luxembourg,7,2
Forbidden Island,Malaysia,8.13,4
Forbidden Island,Mexico,7.54,13
Forbidden Island,Netherlands,7.26,31
Forbidden Island,New Zealand,6.96,11
Forbidden Island,Norway,6.81,8
Forbidden Island,Peru,7,1
Forbidden Island,Philippines,7,5
Forbidden Island,Poland,7.21,35
Forbidden Island,Portugal,7.02,17
Forbidden Island,Qatar,8,1
Forbidden Island,Romania,9,4
Forbidden Island,Russia,6.51,14
Forbidden Island,Republic of Serbia,6,2
Forbidden Island,Slovakia,8.5,2
Forbidden Island,Slovenia,8.67,3
Forbidden Island,South Africa,7.6,5
Forbidden Island,South Korea,7.5,8
Forbidden Island,Spain,6.96,120
Forbidden Island,Sweden,7.1,22
Forbidden Island,Switzerland,7.08,6
Forbidden Island,Taiwan,7.28,12
Forbidden Island,Thailand,7.16,9
